CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
P20001731|TOMPKINS, MIKE DR|UNK|1992|US|P|C||52556|FAIRFIELD|IA
P20001749|PIRTLE, PHILIP ANDREW|UNK|1992|US|P|C|C00271106|61821|CHAMPAIGN|IL
P20001756|"KUBBS, DMITRI A ""PETE"""|UNK|1992|US|P|C|C00271114|61821|CHAMPAIGN|IL
P20001764|NATE, JEAN JOIE DE'VIVRE|REP|1992|US|P|C|C00271122|34625|CLEARWATER|FL
P20001772|WORSWICK, WINTON DANLEY|UNK|1992|US|P|C||89428|SILVER CITY|NV
P20001780|CHAPMAN, THOMAS L REV|IND|1992|US|P|C||33809|LAKELAND|FL
P20001798|SLIGH, HENRY MICHAEL|DEM|1992|US|P|C|C00273326|29578|MYRTLE BEACH|SC
P20001806|DANIELS, RONALD|IND|1992|US|P|C|C00273367|44504|YOUNGSTOWN|OH
P20001814|DONNELLY, EDWIN|UNK|1992|US|P|C|C00273623|45219|CINCINNATI|OH
P20001822|BRYK, WILLIAM MICHAEL|UNK|1992|US|P|C||10022|NEW YORK|NY
P20001830|CONGDON, BOB|UNK|1992|US|P|C|C00277269|55802|DULUTH|MN
P20001848|DAWSON, MAUREEN GAYLE|IND|1992|US|P|C|||BANFF ALBERTA|ZZ
P20001855|WEATTER, NAN C|UNK|1992|US|P|C||49441|MUSKEGON|MI
P20001863|CHANG, EYAN V|IND|1992|US|P|C|C00275925|94116|SAN FRANCISCO|CA
P20001871|BROWN-GERDINE, KAREN E|IND|1992|US|P|C|C00276196|80203|DENVER|CO
P20001889|DOWNEY, ROBERT JACK|UNK|1992|US|P|C|C00278358|93950|PACIFIC GROVE|CA
P20001897|HALYARD, HELEN|UNK|1992|US|P|C|C00278366|48212|HAMTRAMCK|MI
P40000028|LOPEZ-ESCAPA, CESAR|IND|1984|US|P|C|C00141655|33155|MIAMI|FL
P40000036|LELA, WAYNE|IND|1984|US|P|C|C00143016|60515|DOWNERS GROVE|IL
P40000085|HAMRE, FREDERICK CHARLES|DEM|1984|US|P|C|C00147298|01101|SPRINGFIELD|MA
P40000093|NELSON, JAMES ARTHUR JR|DEM|1984|US|P|C|C00148262|95823|SACTO|CA
P40000101|CARDENAS, TOM|DEM|1984|US|P|C|C00149617|93212|CORCORAN|CA
P40000119|TRUNNELL, HEBER J|IND|1984|US|P|C|C00151431|84126|SALT LAKE CITY|UT
P40000127|BAKER, LARRY LEE|DEM|1996|US|P|C|C00275891||COLFAX|WA
P40000143|TOLBOW, LEONARD D|DEM|1992|US|P|C|C00157859|80903|COLORADO SPRINGS|CO
P40000150|HART, GARY W|DEM|1988|US|P|C|C00214452|80218|DENVER|CO
P40000176|CRANSTON, ALAN|DEM|1984|US|P|C|C00159392|90025|LOS ANGELES|CA
P40000184|BRITT, GEORGE JR|DEM|1988|US|P|C|C00200022|19143|PHILA|PA
P40000218|BROOKS, GERRY|DEM|1984|US|P|C|C00163758|48206|DETROIT|MI
P40000234|HAWKINSON, CARLA K SCHRAM|DEM|1992|US|P|C|C00164343||PONTIAC|MI
P40000242|RODEN, GEORGE B|DEM|1988|US|P|C|C00164350|76703|WACO|TX
P40000259|STEWART, FRANK MRS|DEM|1992|US|P|C|C00250902|36272|PIEDMONT|AL
P40000291|GLENN, JOHN|DEM|1984|US|P|C|C00164855|20854|POTOMAC|MD
P40000374|ARNOLD, LAVERN ROMMAL|IND|1984|US|P|C|C00165068|55434|BLAINE|MN
P40000382|OGIN, FREDERICK EUGENE|REP|1992|US|P|C|C00251231|94546|CASTRO VALLEY|CA
P40000432|MASTERS, JOHN PAUL JR|DEM|1984|US|P|C|C00165332|73101|OKLAHOMA CITY|OK
P40000473|DOTY, CHARLES RICHARD|REP|1992|US|P|C|C00235333|74126|TULSA|OK
P40000481|HAMBURG, AL|UNK|1992|US|P|C|C00257188|82240|TORRINGTON|WY
P40000499|CRUZ, ROBERT F|DEM|1984|US|P|C|C00165977|78801|UVALDE|TX
P40000507|BURNS, EUGENE MORLEY|LIB|1984|US|P|C|C00166215|32803|ORLANDO|FL
P40000564|KREML, WILLIAM PARKER|DEM|1992|US|P|C|C00255109|29205|COLUMBIA|SC
P40000598|HUBBARD, BARBARA MARX|DEM|1984|US|P|C|C00167650|20008|WASHINGTON|DC
P40000606|DAKIN, SUSANNA|DEM|1984|US|P|C|C00167924|90291|VENICE|CA
P40000671|MATALIK, EMIL|IND|1988|US|P|C|C00224527|10471|BRONX|NY
P40000721|ROOSEVELT, ROBERT J|DEM|1984|US|P|C|C00169086|20912|TAKOMA PARK|MD
