CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_LAT|CMTE_LONG|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00186585|GOLD COAST POLITICAL ACTION COMMITTEE (GO PAC) FORMERLY-BROWARD CONGR CMTE|U|Q|||M|NONE|26.13405180434782|-80.27614473913044|33318|FORT LAUDERDALE|FL
C00186593|AMERITECH SERVICES, INC. FEDERAL POLITICAL ACTION COMMITTEE|U|Q|||C|AMERICAN INFORMATION TECHNOLOGIES CORP|42.067809|-88.10828|60195|SCHAUMBERG|IL
C00186601|STUDENTS FOR AMERICA POLITICAL ACTION COMMITTEE|U|N|||M|NONE|35.81289577777778|-78.63090008888891|27609|RALEIGH|NC
C00186627|BONNEVILLE COUNTY REPUBLICAN COMM|U|X|REP|||NONE|43.43118885714286|-111.84663571428572|83402|IDAHO FALLS|ID
C00186650|THOMAS J PORTER CAMPAIGN COMMITTEE|P|H|DEM|H4OH02024|||38.89531540217391|-77.01958254710144|20009|WASHINGTON|DC
C00186668|CAMPAIGN 84 - ITAWAMBA CO REPUBLICAN PARTY|U|Y|REP|||MISS REPUBLICAN PARTY|34.265985|-88.38409|38843|FULTON|MS
C00186684|HILLSDALE COUNTY DEMOCRATIC COMMITTEE|U|X|DEM|||NONE|41.89958|-84.62624|49242|HILLSDALE|MI
C00186700|CAMPAIGN FOR JOHN KUSUMI|P|P||P40001760|||41.4373680625|-72.967961875|06708|WATERBURY|CT
C00186726|POPULIST PARTY|U|X|UNK|||NONE|38.89531540217391|-77.01958254710144|20003|WASHINGTON|DC
C00186775|AUGUSTINE FOR CONGRESS|P|H||H4LA02020|||29.992950545454548|-89.96252163636365|70157|NEW ORLEANS|LA
C00186783|BERNIE LAMMERS FOR CONGRESS COMMITTEE|P|H|DEM|H4NY26011|||44.58249|-75.14417|13617|CANTON|NY
C00186809|TEAMSTERS JOINT COUNCIL NO 56 D R I V E COMMITTEE|U|Q|||L|AFL-CIO|39.095393654320986|-94.49784748148147|64130|KANSAS CITY|MO
C00186817|HERITAGE PAC|U|Q|||M|NONE|42.497146|-70.86323|01945|MARBLEHEAD|MA
C00186825|FRIENDS OF CONGRESSMAN BEN BLAZ|P|H|REP|H2GU00017|||38.83442477777778|-77.28774144444445|22032|FAIRFAX|VA
C00186858|13TH CONGRESSIONAL DISTRICT REPUBLICAN COMMITTEE|U|X|REP|||NONE|42.30390803846153|-83.1278015|48201|DETROIT|MI
C00186908|BOB RICHARDS FOR PRESIDENT COMMITTEE|P|P||P40001828|||32.572618|-98.36399|76453|GORDON|TX
C00186981|PITTSBURGH/ALLEGHENY COUNTY DEMOCRATIC CAUCUS|U|N|||M|NONE|40.43987933333333|-80.00114248717952|15258|PITTSBURGH|PA
C00187013|REPUBLICAN PARTY OF DADE COUNTY; THE|U|Y|REP|||NONE|25.753927|-80.27034|33134|CORAL GABLES|FL
C00187047|JESSE JACKSON DELEGATE SUPPORT COMMITTEE|U|D||P40001018|||38.920111|-76.889|20785|LANDOVER|MD
C00187088|MINNESOTA CITIZENS ORGANIZATIONS ACTING TOGETHER (COACT) POLITICAL ACTION COMMITTEE|U|N||||CITIZENS ORG ACTING TOGETHER; MN|44.988124797101456|-93.35478904347828|55414|MINNEAPOLIS|MN
C00187096|WEIRTON STEEL CORPORATION POLITICAL ACTION COMMITTEE|U|N|||C|WEIRTON STEEL CORPORATION|40.412067|-80.57542|26062|WEIRTON|WV
C00187104|KENTUCKY CENTRAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE|U|N|||C|KENTUCKY CENTRAL LIFE INSURANCE CO|38.028650139999996|-84.48421994|40507|LEXINGTON|KY
